Phone Number,International Plan,Voice mail Plan,Account Length,Total day Charge,Number Customer Service calls,Churn,State,churn_probability,predicted_churn,risk_tier
 382-4657, no, yes,128,45.07,1,No,KS,0.02,No,Low
 371-7191, no, yes,107,27.47,1,No,OH,0.02,No,Low
 358-1921, no, no,137,41.38,0,No,NJ,0.01,No,Low
 375-9999, yes, no,84,50.9,2,No,OH,0.19,No,Low
 330-6626, yes, no,75,28.34,3,No,OK,0.17,No,Low
 391-8027, yes, no,118,37.98,0,No,AL,0.02,No,Low
 355-9993, no, yes,121,37.09,3,No,MA,0.01,No,Low
 329-9001, yes, no,147,26.69,0,No,MO,0.04,No,Low
 335-4719, no, no,117,31.37,1,No,LA,0.08,No,Low
 330-8173, yes, yes,141,43.96,0,No,WV,0.22,No,Low
 329-6603, no, no,65,21.95,4,Yes,IN,0.82,Yes,Critical
 344-9403, no, no,74,31.91,0,No,RI,0.0,No,Low
 363-1107, no, no,168,21.9,1,No,IA,0.08,No,Low
 394-8006, no, no,95,26.62,3,No,MT,0.03,No,Low
 366-9238, no, no,62,20.52,4,No,IA,0.19,No,Low
 351-7269, no, no,161,56.59,4,Yes,NY,0.93,Yes,Critical
 350-8884, no, yes,85,33.39,1,No,ID,0.02,No,Low
 386-2923, no, no,93,32.42,3,No,VT,0.01,No,Low
 356-2992, no, yes,76,32.25,1,No,VA,0.02,No,Low
 373-2782, no, no,73,38.15,1,No,TX,0.05,No,Low
 396-5800, no, no,147,26.37,0,No,FL,0.0,No,Low
 393-7984, no, no,77,10.61,5,Yes,CO,0.93,Yes,Critical
 358-1958, no, no,130,31.11,0,No,AZ,0.15,No,Low
 350-2565, no, no,111,18.77,2,No,SC,0.02,No,Low
 343-4696, no, no,132,13.79,0,No,VA,0.01,No,Low
 331-3698, no, no,174,21.13,3,No,NE,0.09,No,Low
 357-3817, no, yes,57,36.21,0,No,WY,0.0,No,Low
 418-6412, no, no,54,22.83,3,No,MT,0.02,No,Low
 353-2630, no, no,20,32.3,0,No,MO,0.03,No,Low
 410-7789, no, no,49,20.28,1,No,HI,0.0,No,Low
 416-8428, no, no,142,14.42,2,No,IL,0.06,No,Low
 370-3359, no, no,75,38.44,1,No,NH,0.01,No,Low
 383-1121, no, no,172,36.04,3,No,LA,0.03,No,Low
 360-1596, no, no,12,42.43,1,Yes,AZ,0.88,Yes,Critical
 395-2854, no, yes,57,30.06,0,No,OK,0.01,No,Low
 362-1407, no, yes,72,37.4,3,No,GA,0.0,No,Low
 341-9764, no, yes,36,24.87,0,No,AK,0.01,No,Low
 353-3305, no, no,78,22.24,1,No,MA,0.0,No,Low
 402-1381, yes, yes,136,34.66,3,No,AK,0.17,No,Low
 332-9891, no, no,149,23.87,1,No,NJ,0.04,No,Low
 372-9976, no, no,98,21.47,3,No,GA,0.04,No,Low
 383-6029, yes, yes,135,29.43,0,Yes,MD,0.94,Yes,Critical
 353-7289, no, no,34,21.22,2,No,AR,0.07,No,Low
 390-7274, no, no,160,14.59,3,No,ID,0.09,No,Low
 352-1237, no, no,64,26.18,1,No,WI,0.0,No,Low
 353-3061, no, yes,59,20.55,2,No,OR,0.01,No,Low
